sequence,layer,spearman_rho,bw_ratio,centroid_tau,knn_purity,tmpl_robustness,cross_cosine,cross_rho
country_name,0,,0.0,,0.6666666666666666,0.0,1.0,
country_name,1,0.29565619799454135,0.2549756466715799,-0.33333333333333337,0.8333333333333334,0.8170608878135681,0.5782457590103149,-0.14782809899727067
country_name,2,0.14782809899727067,0.20492797976061763,-0.33333333333333337,0.6666666666666666,1.1393930912017822,0.1525728851556778,-0.23652495839563306
country_name,3,0.14782809899727067,0.18875289301753878,-0.33333333333333337,0.6666666666666666,1.1366769075393677,0.1493309885263443,-0.35478743759344955
country_name,4,0.059131239598908265,0.2854089950999588,0.33333333333333337,0.9166666666666666,1.7338329553604126,0.09327507764101028,-0.11826247919781653
country_name,5,0.2069593385961789,0.33182984698579343,0.33333333333333337,1.0,2.027902841567993,0.20227086544036865,-0.11826247919781653
country_name,6,0.23652495839563306,0.26331920627430505,0.33333333333333337,1.0,2.3760740756988525,0.12970362603664398,0.29565619799454135
country_name,7,0.35478743759344955,0.14344568711783404,0.33333333333333337,0.9166666666666666,3.5542166233062744,0.12132226675748825,0.2069593385961789
country_name,8,0.32522181779399545,0.14092494864909957,0.33333333333333337,0.8333333333333334,3.2427828311920166,0.17899346351623535,0.059131239598908265
country_name,9,0.029565619799454133,0.13012915054195323,0.33333333333333337,0.9166666666666666,3.6983845233917236,0.1336941123008728,-0.059131239598908265
country_name,10,0.059131239598908265,0.13260140902736672,0.33333333333333337,1.0,4.5267815589904785,0.1520647406578064,0.059131239598908265
country_name,11,0.029565619799454133,0.16078058036668366,0.33333333333333337,1.0,4.466245651245117,0.1640641987323761,0.11826247919781653
country_name,12,0.11826247919781653,0.23815706601995643,0.33333333333333337,0.9166666666666666,3.094127655029297,0.005606607533991337,0.443484296991812
state_religion,0,,0.0,,0.5,0.0,1.0,
state_religion,1,0.23160400697645173,0.24773255033926406,-0.3651483716701107,0.0,0.8487446308135986,0.6834946870803833,0.14638501094228
state_religion,2,0.1828452686656198,0.24247427893431045,-0.3651483716701107,0.0,0.8849110007286072,0.5452463626861572,0.24397501823713327
state_religion,3,0.25598337613186767,0.21828085739381528,-0.3651483716701107,0.0,0.8698875904083252,0.5291076302528381,0.24397501823713327
state_religion,4,0.23160400697645173,0.255444216649903,-0.3651483716701107,0.0,1.6784045696258545,0.11664606630802155,0.19518001458970666
state_religion,5,0.1948902148536384,0.2441496474472555,-0.3651483716701107,0.0,2.100001811981201,0.1726587861776352,0.09759000729485333
state_religion,6,0.20722463782103573,0.20556617500596655,-0.3651483716701107,0.0,2.4861440658569336,0.2626737952232361,0.09759000729485333
state_religion,7,0.1948902148536384,0.15613526312713866,-0.3651483716701107,0.0,3.946621894836426,0.22759005427360535,0.048795003647426664
state_religion,8,0.0853277920439559,0.13560895387336216,-0.3651483716701107,0.0,3.7269396781921387,0.2792679965496063,0.048795003647426664
state_religion,9,0.0974451074268192,0.11089923739145305,-0.3651483716701107,0.0,4.5042500495910645,0.28104785084724426,0.09759000729485333
state_religion,10,0.0853277920439559,0.11553290809860625,-0.3651483716701107,0.0,5.1430864334106445,0.2581698000431061,-0.09759000729485333
state_religion,11,0.06094842288853992,0.11772945015196448,-0.3651483716701107,0.0,4.908796310424805,0.13958637416362762,0.048795003647426664
state_religion,12,0.0487225537134096,0.16909730319717772,-0.3651483716701107,0.0,4.254924774169922,0.20605958998203278,-0.19518001458970666
form_of_government,0,,0.0,,0.6666666666666666,0.0,1.0,
form_of_government,1,0.029721914913888203,0.1370030888966827,-0.816496580927726,0.3333333333333333,0.6296982765197754,0.029132911935448647,0.0
form_of_government,2,0.05933908290969266,0.2040633186907952,-0.816496580927726,0.3333333333333333,0.711780846118927,0.07257475703954697,0.0
form_of_government,3,0.059131239598908265,0.22941766352159718,-0.816496580927726,0.3333333333333333,0.6352852582931519,0.0678621381521225,0.0
form_of_government,4,0.0,0.4775192134809999,-0.816496580927726,0.3333333333333333,1.373763084411621,0.024975033476948738,0.0
form_of_government,5,0.0,0.44834930433171816,-0.816496580927726,0.3333333333333333,2.1260159015655518,0.1425967514514923,0.0
form_of_government,6,0.029721914913888203,0.3780207957787272,-0.816496580927726,0.3333333333333333,2.431180953979492,0.1622147560119629,0.0
form_of_government,7,0.029721914913888203,0.24718518242947765,-0.816496580927726,0.3333333333333333,3.5001542568206787,0.03628825768828392,0.0
