sequence,layer,spearman_rho,bw_ratio,centroid_tau,knn_purity,tmpl_robustness,cross_cosine,cross_rho
country_name,0,,0.0,,0.6666666666666666,0.0,1.0,
country_name,1,0.23652495839563306,0.3887506366393155,-0.33333333333333337,0.5833333333333334,0.22709350287914276,0.05380925536155701,0.5321811563901744
country_name,2,0.29565619799454135,0.38909425888549626,-1.0,0.5,0.18345890939235687,0.378591924905777,-0.2660905781950872
country_name,3,0.2660905781950872,0.4922501691932329,-1.0,0.3333333333333333,0.12175840139389038,0.31935611367225647,-0.35478743759344955
country_name,4,0.443484296991812,0.4905444985261477,-0.33333333333333337,0.75,0.07238974422216415,0.480254590511322,-0.4139186771923578
country_name,5,0.32522181779399545,0.25211333530361196,-0.33333333333333337,0.6666666666666666,0.16330944001674652,0.5974753499031067,0.29565619799454135
country_name,6,0.32522181779399545,0.3190417092850785,-0.33333333333333337,0.6666666666666666,0.04119855538010597,0.46451637148857117,-0.32522181779399545
country_name,7,0.29565619799454135,0.320017088761058,-0.33333333333333337,0.8333333333333334,0.01118855457752943,0.48200979828834534,-0.35478743759344955
country_name,8,0.11826247919781653,0.2735970175710993,-0.33333333333333337,0.75,0.01091088354587555,0.04735201969742775,-0.35478743759344955
country_name,9,0.29565619799454135,0.29819317444613613,-0.33333333333333337,0.8333333333333334,0.012666105292737484,0.09896942973136902,0.2069593385961789
country_name,10,0.32522181779399545,0.3171809206352884,0.33333333333333337,1.0,0.04618309810757637,0.7345938086509705,0.32522181779399545
country_name,11,0.29565619799454135,0.24671802881966892,0.33333333333333337,0.9166666666666666,0.007713644299656153,0.42027851939201355,-0.443484296991812
country_name,12,0.32522181779399545,0.4268236986308308,0.33333333333333337,1.0,5.359033107757568,0.1295541673898697,0.08869685939836239
state_religion,0,,0.0,,0.5,0.0,1.0,
state_religion,1,0.15846589951020382,0.25579538225730186,-0.3651483716701107,0.0,0.27244633436203003,0.07488179206848145,-0.29277002188456
state_religion,2,0.10970716119937188,0.2571264341461202,-0.3651483716701107,0.0,0.20651008188724518,0.3017622232437134,0.09759000729485333
state_religion,3,0.15846589951020382,0.25360577306260124,-0.3651483716701107,0.0,0.14058813452720642,0.2882421314716339,0.048795003647426664
state_religion,4,0.14638501094228,0.3257730218101359,-0.3651483716701107,0.0,0.0752619057893753,0.40685728192329407,0.14638501094228
state_religion,5,0.24361276856704797,0.43985883952264504,-0.3651483716701107,0.0,0.10419004410505295,0.5191373229026794,0.24397501823713327
