sequence,layer,spearman_rho,bw_ratio,centroid_tau,knn_purity,tmpl_robustness,cross_cosine,cross_rho
country_name,0,,0.0,,0.6666666666666666,0.0,1.0,
country_name,1,0.17739371879672478,0.3600691471507921,0.33333333333333337,1.0,0.29333892464637756,0.4126662611961365,0.5913123959890827
country_name,2,0.14782809899727067,0.290708117119664,0.33333333333333337,1.0,0.20396767556667328,0.039913371205329895,-0.3843530573929037
country_name,3,0.08869685939836239,0.1742749395251515,-0.33333333333333337,0.75,0.2615213692188263,0.20509052276611328,0.2660905781950872
country_name,4,0.11826247919781653,0.27718889596770346,-1.0,0.6666666666666666,0.09845123440027237,0.06221840903162956,0.29565619799454135
country_name,5,0.17739371879672478,0.21885601577081357,-0.33333333333333337,0.9166666666666666,0.03971237316727638,0.4631345272064209,0.23652495839563306
country_name,6,0.2660905781950872,0.18237995529295437,0.33333333333333337,1.0,0.02680308185517788,0.0798574760556221,0.3843530573929037
country_name,7,0.29565619799454135,0.1485227297966575,-0.33333333333333337,0.8333333333333334,0.03205982968211174,0.28887656331062317,0.23652495839563306
country_name,8,0.35478743759344955,0.13772977071340306,0.33333333333333337,1.0,0.06512976437807083,0.57778400182724,0.2069593385961789
country_name,9,0.23652495839563306,0.152799513737493,0.33333333333333337,0.8333333333333334,0.03008156456053257,0.4457539916038513,0.2069593385961789
country_name,10,0.17739371879672478,0.1360514535384839,0.33333333333333337,0.9166666666666666,0.04435795545578003,0.054278068244457245,0.29565619799454135
country_name,11,0.4139186771923578,0.14658993908199022,0.33333333333333337,0.9166666666666666,0.07861355692148209,0.26477909088134766,0.4730499167912661
country_name,12,0.23652495839563306,0.1404019268936502,0.33333333333333337,0.9166666666666666,6.291837692260742,0.23089788854122162,0.35478743759344955
state_religion,0,,0.0,,0.5,0.0,1.0,
state_religion,1,0.4141417065639816,0.4377820694310866,-0.3651483716701107,0.0,0.28642433881759644,0.5538307428359985,-0.24397501823713327
state_religion,2,0.23160400697645173,0.37478911757649075,-0.3651483716701107,0.0,0.23259291052818298,0.5674445629119873,0.24397501823713327
state_religion,3,0.2803627452872836,0.31638319018276545,-0.3651483716701107,0.0,0.23327861726284027,0.33925095200538635,-0.24397501823713327
state_religion,4,0.20722463782103573,0.3123253006255464,-0.3651483716701107,0.0,0.09732096642255783,0.11801302433013916,-0.29277002188456
state_religion,5,0.20722463782103573,0.25859031605909566,-0.3651483716701107,0.0,0.041219137609004974,0.2336292862892151,0.0
state_religion,6,0.2923353222804576,0.3502082466399077,-0.3651483716701107,0.0,0.025510286912322044,0.22784394025802612,-0.34156502553198664
state_religion,7,0.29277002188456,0.28955850529872557,-0.3651483716701107,0.0,0.027388110756874084,0.2588747441768646,-0.3903600291794133
state_religion,8,0.1828452686656198,0.22726043578534194,-0.3651483716701107,0.0,0.05467195063829422,0.3599388301372528,-0.048795003647426664
state_religion,9,0.12180638428352399,0.21235896580609095,-0.3651483716701107,0.0,0.031910382211208344,0.18714579939842224,-0.34156502553198664
state_religion,10,0.20722463782103573,0.26273362315963794,-0.3651483716701107,0.0,0.039772968739271164,0.061586108058691025,0.0
state_religion,11,0.23160400697645173,0.2918919938685265,-0.3651483716701107,0.0,0.06366916000843048,0.2577906548976898,-0.19518001458970666
state_religion,12,0.1461676611402288,0.22887253310644495,-0.3651483716701107,0.0,5.709221839904785,0.2522808909416199,-0.24397501823713327
form_of_government,0,,0.0,,0.6666666666666666,0.0,1.0,
form_of_government,1,0.029721914913888203,0.1036584258771002,-0.816496580927726,0.3333333333333333,0.2776924669742584,0.1674775779247284,0.0
form_of_government,2,0.029721914913888203,0.14647415794041513,-0.816496580927726,0.3333333333333333,0.21367989480495453,0.004366240929812193,0.0
form_of_government,3,0.02961744388795462,0.26475441566522684,-0.816496580927726,0.3333333333333333,0.22114670276641846,0.15403731167316437,0.0
form_of_government,4,0.02961744388795462,0.18007313306493664,-0.816496580927726,0.3333333333333333,0.09089639037847519,0.1453164666891098,0.0
form_of_government,5,0.029721914913888203,0.16270310253443873,-0.816496580927726,0.3333333333333333,0.03918133303523064,0.4489719271659851,0.0
form_of_government,6,0.05933908290969266,0.15011575502951036,-0.816496580927726,0.3333333333333333,0.01952030323445797,0.5409802794456482,0.0
form_of_government,7,0.029721914913888203,0.12968272150662283,-0.816496580927726,0.3333333333333333,0.029039310291409492,0.47796928882598877,0.0
form_of_government,8,0.029721914913888203,0.10374686086791154,-0.816496580927726,0.3333333333333333,0.060067784041166306,0.6287709474563599,0.0
form_of_government,9,0.05933908290969266,0.17370013566251324,-0.816496580927726,0.3333333333333333,0.028479108586907387,0.4858894944190979,0.0
form_of_government,10,0.0,0.10361230578109958,-0.816496580927726,0.3333333333333333,0.04055032134056091,0.1672268509864807,0.0
form_of_government,11,0.029721914913888203,0.08434641789749134,-0.816496580927726,0.3333333333333333,0.07337167859077454,0.05872715264558792,0.0
form_of_government,12,0.029721914913888203,0.09983672923776754,-0.816496580927726,0.3333333333333333,5.800294399261475,0.23842982947826385,0.0
ruling_dynasty,0,,0.0,,0.2857142857142857,0.0,1.0,
ruling_dynasty,1,0.14148216242061093,0.5292988328972559,-0.18615804808104638,0.0,0.2906581461429596,0.20695199072360992,0.11716491575456843
ruling_dynasty,2,0.12821820969367864,0.5878733081327456,-0.0906923823984585,0.07142857142857142,0.2053910493850708,0.4609088599681854,-0.20559126726745025
ruling_dynasty,3,0.25864707817517935,0.6978970534521404,0.06205268269368214,0.21428571428571427,0.27552860975265503,0.2161526083946228,0.40455055817143437
ruling_dynasty,4,0.13706084484496683,0.6105451325874391,-0.0906923823984585,0.17857142857142858,0.09846614301204681,0.10900574177503586,0.2851749836290439
ruling_dynasty,5,0.1680100678744755,0.5022839717159768,0.014319849852388185,0.35714285714285715,0.041408926248550415,0.27707305550575256,0.3072815715072644
ruling_dynasty,6,0.09063701030070388,0.39075321937122565,0.16706491494452883,0.42857142857142855,0.023453230038285255,0.5028309226036072,0.1348501860571448
ruling_dynasty,7,0.04421317575644092,0.36132467408101093,0.1766114815127876,0.39285714285714285,0.028848739340901375,0.2921815812587738,0.006631976363466138
ruling_dynasty,8,0.14811413878407706,0.3173620854350513,0.21479774778582278,0.5,0.05212429538369179,0.5986905097961426,0.1834846793892298
ruling_dynasty,9,0.1724313854501196,0.38991905066416005,0.052506116125423344,0.42857142857142855,0.02848212979733944,0.46621954441070557,0.27633234847775573
ruling_dynasty,10,0.10832228060328024,0.3351090525338284,0.20525118121756397,0.5357142857142857,0.036704134196043015,0.2221258133649826,0.19011665575269596
ruling_dynasty,11,0.2807536660533998,0.3622012554187779,0.16706491494452883,0.4642857142857143,0.05835737660527229,0.36939355731010437,0.26748971332646754
ruling_dynasty,12,0.1724313854501196,0.4337544510001272,0.3007168469001519,0.4642857142857143,5.230637550354004,0.3276941180229187,-0.042002516968618876
calendar,0,,0.0,,1.0,0.0,1.0,
calendar,1,0.10910894511799618,0.1745441387291611,,1.0,0.26374000310897827,0.059911832213401794,-0.10910894511799618
calendar,2,0.21821789023599236,0.1985112016760795,,1.0,0.26321181654930115,0.34224817156791687,-0.4364357804719847
calendar,3,0.32732683535398854,0.14124520581602867,,1.0,0.32096391916275024,0.18978263437747955,-0.10910894511799618
calendar,4,0.21821789023599236,0.13235028875449414,,1.0,0.1116175651550293,0.060815874487161636,-0.21821789023599236
calendar,5,0.10910894511799618,0.1533062152942505,,1.0,0.04737544804811478,0.07983841001987457,0.21821789023599236
calendar,6,0.21821789023599236,0.13386001619116242,,1.0,0.02806028164923191,0.13475707173347473,0.4364357804719847
calendar,7,0.21821789023599236,0.17344066897868637,,1.0,0.030205480754375458,0.08169320225715637,0.7637626158259734
calendar,8,0.10910894511799618,0.09280927682842523,,1.0,0.05207892507314682,0.0353878028690815,0.5455447255899809
calendar,9,0.21821789023599236,0.1588165921254076,,1.0,0.032926782965660095,0.08102362602949142,0.5455447255899809
calendar,10,0.10910894511799618,0.0986857491783156,,1.0,0.05013532191514969,0.26118940114974976,-0.10910894511799618
calendar,11,0.0,0.09991071630714114,,1.0,0.06805269420146942,0.2908644378185272,-0.10910894511799618
calendar,12,0.10910894511799618,0.1447406606954992,,1.0,6.35675048828125,0.13995155692100525,0.10910894511799618
primary_weapon,0,,0.0,,0.5,0.0,1.0,
primary_weapon,1,0.10914103126634984,0.33940416428493114,-0.06666666666666665,0.625,0.24248331785202026,0.03986155241727829,0.08488746876271655
primary_weapon,2,0.2182820625326997,0.4043475312975378,0.7333333333333333,0.8125,0.20071709156036377,0.20971840620040894,0.13339459376998314
primary_weapon,3,0.6063390625908325,0.5581236709714628,0.8666666666666666,1.0,0.2552191913127899,0.10226575285196304,0.8731282501307988
primary_weapon,4,0.32742309379904955,0.3743296983006818,0.8666666666666666,0.875,0.11291470378637314,0.031240565702319145,-0.2546624062881496
