layer,r2,alpha
1,0.7868349462693879,0.026366508987303583
2,0.7983000052142398,0.23357214690901212
3,0.8072036261375972,0.23357214690901212
4,0.8126818838558401,2.069138081114788
5,0.8142005679154622,2.069138081114788
6,0.8131688272887261,6.158482110660261
7,0.8065853559665048,18.32980710832434
8,0.8005896717561565,18.32980710832434
9,0.7995827746269569,18.32980710832434
10,0.802201991255203,54.555947811685144
11,0.8074519855651345,54.555947811685144
12,0.8081079954283539,18.32980710832434
