layer,pca_pc1_var,pca_pc2_var,pca_pc3_var,pca_cum_var_2pc,angle_pc1_temporal_deg,ridge_cv_r2,kernel_ridge_cv_r2,knn_cv_r2,between_within_eta2,centroid_dist_mean,centroid_dist_std,centroid_dist_cv,calibration_r
1,0.6307651996612549,0.23941197991371155,0.06715545058250427,0.870177149772644,87.88351560457146,0.768806708960619,0.5805282670159446,0.7086022694860089,0.08525154718349372,0.3490155041217804,0.21509204804897308,0.6162822246551514,0.9785118165130432
2,0.63410884141922,0.2480422407388687,0.05583281069993973,0.8821510672569275,85.71607010591741,0.78152562977835,0.6265155748802359,0.7310633977305905,0.0921185138460864,0.4404212236404419,0.31437355279922485,0.7138019800186157,0.9798093763494371
3,0.6626335978507996,0.21288730204105377,0.06651083379983902,0.8755208849906921,85.10972921284228,0.7896919606145701,0.6182316887449535,0.7340181890952688,0.08416839461122955,0.4363539516925812,0.2950749397277832,0.676228404045105,0.9806994034495042
4,0.6495704650878906,0.2142844945192337,0.054068490862846375,0.8638549447059631,83.56942313809259,0.7949840683051994,0.7318263975954291,0.7507771940042568,0.07611833710918443,0.7199975848197937,0.42541322112083435,0.5908536911010742,0.9813248423780954
5,0.7197760343551636,0.16318757832050323,0.05066937208175659,0.8829635977745056,83.22397102563146,0.8007637623461686,0.7523992673403177,0.7563502201595755,0.09957111354053291,0.853065550327301,0.48209279775619507,0.565129816532135,0.9812343293729575
6,0.6954789757728577,0.18027985095977783,0.05638677999377251,0.8757588267326355,81.49597755150363,0.8003950897933944,0.75518047502254,0.7334365865313425,0.09393453554744584,1.0126913785934448,0.5965847373008728,0.5891081690788269,0.9812099615199358
7,0.6905015110969543,0.1776990294456482,0.059021055698394775,0.8682005405426025,80.08978850897702,0.7890974674316713,0.7603392950686427,0.6856346352456189,0.07956839972189637,1.3356274366378784,0.7058752775192261,0.5284971594810486,0.9807336920523305
8,0.6994869709014893,0.16096904873847961,0.06055436655879021,0.8604559898376465,78.4061731675101,0.783028710828112,0.7498709713024281,0.654535117292556,0.06850312837007623,1.1771092414855957,0.6273372769355774,0.5329473614692688,0.9805702550636662
9,0.672221839427948,0.17274323105812073,0.06973440200090408,0.8449651002883911,76.7024561385557,0.7851883178124129,0.7508177366632746,0.6251413386447817,0.06216596147438385,1.2124472856521606,0.6378524303436279,0.5260867476463318,0.9804704678346212
10,0.6737055778503418,0.18216809630393982,0.066139817237854,0.855873703956604,75.59765870243731,0.7867852783149174,0.7645968434927275,0.6748477338456844,0.07186430142266828,1.398335337638855,0.7675144672393799,0.5488772392272949,0.9819638357846654
11,0.6495955586433411,0.21397602558135986,0.062183186411857605,0.8635715842247009,74.56220955755036,0.7938735527593953,0.7740332064424178,0.7230342378350099,0.09016824102851571,1.3831442594528198,0.7010350823402405,0.5068415999412537,0.9826809513288971
12,0.5831024646759033,0.28374528884887695,0.0713626816868782,0.8668477535247803,77.87821446227743,0.7935431877035357,0.7700978200249904,0.7592645260021446,0.11988102771333828,1.3902291059494019,0.7951596975326538,0.5719630718231201,0.9831757445724691
