layer,r2,alpha,coef_norm,years_per_unit_lambda
1,0.786834946122156,0.026366508987303583,9064.130431540674,9064.130431540674
2,0.7983000058755362,0.23357214690901212,3543.8442862693473,3543.8442862693473
3,0.8072036257450552,0.23357214690901212,3101.219723122865,3101.219723122865
4,0.8126818831787802,2.069138081114788,1506.8176923791002,1506.8176923791002
5,0.8142005680312652,2.069138081114788,1024.0955710617036,1024.0955710617036
6,0.8131688276109422,6.158482110660261,700.3506887974651,700.3506887974651
7,0.8065853556846712,18.32980710832434,461.4649683589862,461.4649683589862
8,0.8005896719070604,18.32980710832434,449.14040444532304,449.14040444532304
9,0.7995827746458409,18.32980710832434,402.8765354173583,402.8765354173583
10,0.8022019911431018,54.555947811685144,314.8424513267754,314.8424513267754
11,0.8074519854997173,54.555947811685144,294.2953177046575,294.2953177046575
12,0.8081079951552904,18.32980710832434,384.8301063496096,384.8301063496096
