series,layer,spearman_rho,centroid_tau,knn_purity,cross_cosine,cross_rho
chinese_dynasties,0,,,0.05555555555555555,1.0,
chinese_dynasties,1,0.22651222651222655,-0.009106397063524726,0.19444444444444445,0.36382806301116943,-0.10553410553410554
chinese_dynasties,2,0.14105534105534107,-0.025885589879021505,0.25,0.710197389125824,-0.09935649935649937
chinese_dynasties,3,0.18532818532818532,-0.016526798218392435,0.3055555555555556,0.7392708659172058,-0.15469755469755472
chinese_dynasties,4,0.21132561132561134,-0.04714731073909143,0.19444444444444445,0.7272188663482666,0.17631917631917632
chinese_dynasties,5,0.29832689832689835,-0.03929279087720425,0.2222222222222222,0.9144883751869202,-0.2671814671814672
chinese_dynasties,6,0.2906048906048906,-0.02290733363319025,0.1111111111111111,0.8105437159538269,-0.23783783783783782
chinese_dynasties,7,0.18558558558558558,0.0024532754838542223,0.16666666666666666,0.24045562744140625,0.34929214929214936
chinese_dynasties,8,0.37915057915057915,-0.03245794518761862,0.2777777777777778,0.2850112318992615,-0.07052767052767053
chinese_dynasties,9,0.17014157014157016,0.029550359428976578,0.2222222222222222,0.6437680125236511,-0.07181467181467181
chinese_dynasties,10,0.2648648648648649,0.04690008238793419,0.19444444444444445,0.8742830753326416,0.22239382239382238
chinese_dynasties,11,0.12175032175032177,0.027955225575277125,0.16666666666666666,0.5260540843009949,-0.006692406692406694
chinese_dynasties,12,0.3418275418275419,0.028651834663285115,0.2777777777777778,0.10936833173036575,-0.16138996138996142
chinese_emperors,0,,,0.020618556701030927,1.0,
chinese_emperors,1,0.09067957079739111,0.12973546430707392,0.061855670103092786,0.4008384644985199,0.203963286345466
chinese_emperors,2,0.09521617925520721,0.1192321679504388,0.08247422680412371,0.6460820436477661,0.16412002945508097
chinese_emperors,3,0.06602409004839048,0.08944108459738671,0.08247422680412371,0.5935446619987488,0.00820534399326741
chinese_emperors,4,0.3580764780138859,0.16275056225223267,0.10309278350515463,0.6252260208129883,0.2754576057227014
chinese_emperors,5,0.226685777403745,0.039831794805716934,0.07216494845360824,0.6679272651672363,-0.15421838838628232
chinese_emperors,6,0.289777508941721,0.05341181282874142,0.10309278350515463,0.3614562749862671,0.11373080159899011
chinese_emperors,7,0.09547917104986323,0.05818939518258465,0.09278350515463918,0.02768523246049881,0.09505838417841363
chinese_emperors,8,0.04206553755522827,0.11054547079760983,0.09278350515463918,0.445728600025177,-0.02898169577109194
chinese_emperors,9,0.2125631180307174,0.16263345134914078,0.12371134020618557,0.3237862288951874,0.22757994950557542
chinese_emperors,10,0.5433541973490427,0.22977783393352547,0.07216494845360824,0.9217444658279419,0.53305806858826
chinese_emperors,11,0.5920208289501366,0.2382202238551366,0.10309278350515463,0.1267758011817932,-0.005601725226172943
chinese_emperors,12,0.4461787292236481,0.17541743939924898,0.1134020618556701,0.030943017452955246,-0.3687539448769198
english_monarchs,0,,,0.03389830508474576,1.0,
english_monarchs,1,0.5306838106370545,0.16553895965533433,0.2033898305084746,0.3602459132671356,-0.47895967270601997
english_monarchs,2,0.5286966686148451,0.15481738272966997,0.2542372881355932,0.7291606664657593,-0.5234950321449445
english_monarchs,3,0.4769725306838107,0.11237963079635148,0.1864406779661017,0.7259366512298584,-0.47504383401519584
english_monarchs,4,0.4994739918176506,0.13743037647547393,0.1694915254237288,0.7185621857643127,0.5125657510227937
english_monarchs,5,0.5726475745178259,0.16139939162548916,0.11864406779661017,0.8862794041633606,-0.5663939216832262
english_monarchs,6,0.5720631209818821,0.1522231440271208,0.1016949152542373,0.8314847350120544,-0.5539450613676214
english_monarchs,7,0.4220338983050848,0.07931915602875757,0.1864406779661017,0.06018850579857826,0.35938047925189953
english_monarchs,8,0.5497954412624196,0.0888550687714435,0.1694915254237288,0.5247581005096436,0.5254821741671538
english_monarchs,9,0.5445353594389247,0.11017514329581948,0.1864406779661017,0.46422502398490906,0.5400350672121567
english_monarchs,10,0.09479836353009938,0.06215779520730832,0.0847457627118644,0.9461475014686584,0.12028053769725307
english_monarchs,11,0.28848626534190536,0.12079278656761262,0.15254237288135594,0.29121509194374084,0.5140268848626536
english_monarchs,12,0.6329047340736412,0.15911968898070825,0.22033898305084745,0.22426462173461914,0.5779661016949154
japanese_nengo,0,,,0.03389830508474576,1.0,
japanese_nengo,1,0.10531852717708942,-0.02462726005754622,0.03389830508474576,0.3049784004688263,-0.01256575102279369
japanese_nengo,2,0.09912331969608416,-0.024244211906445625,0.03389830508474576,0.6748371720314026,0.06990064289888955
japanese_nengo,3,0.1611338398597312,-0.010931232875892352,0.03389830508474576,0.5919878482818604,0.11741671537112804
