series,layer,spearman_rho,centroid_tau,knn_purity,cross_cosine,cross_rho
chinese_dynasties,0,,,0.05555555555555555,1.0,
chinese_dynasties,1,0.16653796653796654,0.049953938658891736,0.25,0.35418933629989624,-0.025997425997425997
chinese_dynasties,2,0.23835263835263834,0.002130210399560662,0.2777777777777778,0.28127771615982056,0.3287001287001287
chinese_dynasties,3,0.21261261261261263,0.006875228825122327,0.25,0.1897265762090683,0.296010296010296
chinese_dynasties,4,0.3423423423423424,0.05175098819027467,0.2222222222222222,0.13113224506378174,-0.0023166023166023165
chinese_dynasties,5,0.40180180180180186,0.1525977734092863,0.16666666666666666,0.2691173553466797,-0.20772200772200775
chinese_dynasties,6,0.34002574002574004,0.13140672303640558,0.16666666666666666,0.2827654182910919,-0.26615186615186615
chinese_dynasties,7,0.27953667953667954,0.13061925189344004,0.19444444444444445,0.08913622051477432,-0.12535392535392537
chinese_dynasties,8,0.2836550836550837,0.1263689268782029,0.16666666666666666,0.1016913577914238,-0.24787644787644786
chinese_dynasties,9,0.2867438867438868,0.12020040292497271,0.2222222222222222,0.14447583258152008,-0.17837837837837842
chinese_dynasties,10,0.275933075933076,0.10680329771067415,0.25,0.16222621500492096,-0.21389961389961393
chinese_dynasties,11,0.2684684684684685,0.1063994663553072,0.2222222222222222,0.11433718353509903,-0.14414414414414414
chinese_dynasties,12,0.2944658944658945,0.10776239717967066,0.19444444444444445,0.19032518565654755,-0.20102960102960102
chinese_emperors,0,,,0.020618556701030927,1.0,
chinese_emperors,1,0.6607800336629497,0.2240444156757405,0.10309278350515463,0.27119243144989014,0.5768330528087523
chinese_emperors,2,0.45388438880706916,0.1875399962922073,0.14432989690721648,0.23413591086864471,0.3821270776351777
chinese_emperors,3,0.3375631180307174,0.1705315068088794,0.16494845360824742,0.2637209892272949,0.3351304439301493
chinese_emperors,4,0.38537502629917947,0.15074321685247286,0.15463917525773196,0.2760436236858368,-0.49404323585104143
chinese_emperors,5,0.4006548495686934,0.1555083326251989,0.10309278350515463,0.3647848665714264,-0.4624053229539238
chinese_emperors,6,0.413857037660425,0.16302282332404208,0.13402061855670103,0.40463805198669434,-0.5010914159478224
chinese_emperors,7,0.48205081001472755,0.1865381591407219,0.13402061855670103,0.26536089181900024,-0.5351094045865769
chinese_emperors,8,0.4742925520723753,0.17432591127422306,0.12371134020618557,0.2169753611087799,-0.5166342310119924
chinese_emperors,9,0.47907900273511456,0.1881946140364151,0.10309278350515463,0.20714378356933594,-0.42001104565537556
chinese_emperors,10,0.5122685672207027,0.2084590430740392,0.15463917525773196,0.2622479200363159,-0.5260887860298759
chinese_emperors,11,0.5184751735745844,0.2053964290377939,0.13402061855670103,0.31273019313812256,-0.5094019566589522
chinese_emperors,12,0.4117794024826425,0.20477396748842736,0.14432989690721648,0.24455302953720093,-0.506522196507469
english_monarchs,0,,,0.03389830508474576,1.0,
english_monarchs,1,0.40075978959672715,0.09218504833955482,0.2033898305084746,0.2047143131494522,0.10520163646990066
english_monarchs,2,0.488720046756283,0.11954284762500327,0.1864406779661017,0.2124527543783188,0.08988895382817068
english_monarchs,3,0.44418468731735833,0.1194867781538359,0.1694915254237288,0.11628422141075134,0.02460549386323788
english_monarchs,4,0.7665108123904151,0.17448409162864695,0.23728813559322035,0.11421778053045273,-0.37580362361192293
english_monarchs,5,0.7180596142606664,0.19208990557520345,0.1694915254237288,0.04397505521774292,-0.11578024547048511
english_monarchs,6,0.5415546464056109,0.14125203785529172,0.2033898305084746,0.06760662794113159,0.08118059614260667
english_monarchs,7,0.4600818234950322,0.10489093752531346,0.1864406779661017,0.010965002700686455,0.3921683226183519
english_monarchs,8,0.4883109292811223,0.0882171377447657,0.11864406779661017,0.07216791808605194,0.45201636469900647
