idiom
a pretty penny
brass farthing
in for a penny in for a pound
look after the pennies
not a penny more
not have two pennies to rub together
not the full shilling
not worth a farthing
not worth a penny
pennies in the pound
penny dreadful
penny for your thoughts
penny packets
penny wise pound foolish
penny-pinching
shilling a dozen
ten a penny
turn an honest penny
uttermost farthing
