model,coin,year,value_proj,time_proj,purch_power,real_earn
bert,penny,1250,-0.4903424488578675,-0.9632915258407593,1.0,37.79041359120478
bert,penny,1260,-0.4343425316527625,-0.974136233329773,0.9094611406366796,35.57530510343266
bert,penny,1270,-0.43304452338375565,-0.9183955788612366,0.7962349020308248,28.59186462915868
bert,penny,1280,-0.521022732164329,-0.8919333219528198,0.7659322940528717,26.958759368032197
bert,penny,1290,-0.46727475784616584,-0.9128026962280273,0.7897110711917863,28.104208270289963
bert,penny,1300,-0.4148140845088007,-0.9003013372421265,0.7542916788700958,26.763773199955562
bert,penny,1310,-0.3925113033531085,-0.940046489238739,0.6614840555804953,25.068637978387713
bert,penny,1320,-0.40805842586709196,-0.9399552345275879,0.6206927565540887,25.43241547174561
bert,penny,1330,-0.41273368820488265,-0.9002339839935303,0.7138577400686792,29.252746065101952
bert,penny,1340,-0.3583618080556107,-0.9248707294464111,0.8342194201763972,33.131349603067854
bert,penny,1350,-0.3766506459401679,-0.9368597269058228,0.718425150559168,38.226829788235676
bert,penny,1360,-0.38837801580824527,-0.9008259773254395,0.6542062553636363,44.093069613736205
bert,penny,1370,-0.3994933454636027,-0.8539546728134155,0.6015037721519632,45.39366016791913
bert,penny,1380,-0.4320542278456089,-0.8108013868331909,0.6970317592530034,54.12512317533032
bert,penny,1390,-0.4790710674290545,-0.7895340323448181,0.7570873301352409,57.20033674937185
bert,penny,1400,-0.4757265470176445,-0.7863103151321411,0.7329354268288505,58.156993522897146
bert,penny,1410,-0.4725567755854966,-0.8026368618011475,0.7069101278747706,58.75813275990294
bert,penny,1420,-0.4942191626011718,-0.8082418441772461,0.7307157575050623,61.16210748411963
bert,penny,1430,-0.4967821945372178,-0.7998442053794861,0.7320366771343666,63.37323186956899
bert,penny,1440,-0.4714575013848954,-0.8340742588043213,0.7141231496954459,64.53824045199266
bert,penny,1450,-0.4545443590046458,-0.8700379133224487,0.7685896045797157,69.5832042269643
bert,penny,1460,-0.47159758235730903,-0.8278374075889587,0.7558261127578118,66.95017137032416
bert,penny,1470,-0.4941079703337473,-0.7737232446670532,0.7624273523487529,66.6191172561408
bert,penny,1480,-0.49799341321993035,-0.7842833399772644,0.7154058643807953,62.45805345527764
bert,penny,1490,-0.4939854509929275,-0.7755574584007263,0.7158185437535453,62.009179998560384
