model,coin,rho_d_vs_cpi,p_d_vs_cpi,n_d_cpi,rho_d_vs_earn,p_d_vs_earn,n_d_earn
bert,penny,-0.06947880916274245,0.576378834682018,67,-0.09478011014446486,0.4455060032587102,67
bert,sixpence,-0.054034639636044386,0.6640803228784743,67,-0.03771250698379759,0.7618984408147197,67
bert,shilling,-0.06600686407534521,0.5956259136516359,67,-0.049126027615931045,0.6930015549012303,67
bert,florin,-0.056149732620320865,0.6517644010063841,67,-0.11042381674515125,0.3736952948600636,67
