model,coin,rho_vs_cpi,p_vs_cpi,rho_vs_earn,p_vs_earn
bert,penny,0.880952380952381,0.0038503204637324023,-0.30952380952380953,0.4556448907375821
bert,sixpence,0.9285714285714287,0.0008629681828999772,-0.4523809523809524,0.2604047674368854
bert,shilling,0.9047619047619048,0.00200827550542947,-0.3333333333333334,0.41975308641975323
bert,crown,0.8333333333333335,0.010175540123456757,-0.04761904761904763,0.9108491685195836
