model,series,year,bert_proj,real_value
bert,wheat_price,1250,0.6332420706748962,
bert,wheat_price,1260,0.6020722389221191,0.45741739309372365
bert,wheat_price,1270,0.5139492154121399,0.5057381401731066
bert,wheat_price,1280,0.5253333449363708,0.5102782318337719
bert,wheat_price,1290,0.547755777835846,0.5134101318266907
bert,wheat_price,1300,0.5522393584251404,0.5341398400610814
bert,wheat_price,1310,0.570090115070343,0.6417861682845651
bert,wheat_price,1320,0.5352678894996643,0.6767664887142529
bert,wheat_price,1330,0.5053430795669556,0.57700430237112
bert,wheat_price,1340,0.6018812656402588,0.508859001263754
bert,wheat_price,1350,0.5264410376548767,0.582297189318636
bert,wheat_price,1360,0.5183092355728149,0.6417553801798951
bert,wheat_price,1370,0.5525182485580444,0.6741322410100106
bert,wheat_price,1380,0.5471897125244141,0.6054587077844578
bert,wheat_price,1390,0.4796144962310791,0.5850170622679433
bert,wheat_price,1400,0.5045092105865479,0.5856496809838709
bert,wheat_price,1410,0.49068450927734375,0.6126156685432901
bert,wheat_price,1420,0.49721240997314453,0.6115697004333197
bert,wheat_price,1430,0.4964326024055481,0.6464343830966127
bert,wheat_price,1440,0.4404395818710327,0.6615761293517237
bert,wheat_price,1450,0.5827794671058655,0.6257502696370225
bert,wheat_price,1460,0.573771595954895,0.6167472945492581
bert,wheat_price,1470,0.5083253979682922,0.6162642730874417
bert,wheat_price,1480,0.5043596625328064,0.6491465310493074
bert,wheat_price,1490,0.5655703544616699,0.6170005321085851
bert,wheat_price,1500,0.5968416929244995,0.6286795465160607
bert,wheat_price,1510,0.4806464910507202,0.6412187033422329
bert,wheat_price,1520,0.5521777272224426,0.698647874285429
bert,wheat_price,1530,0.48927903175354004,0.7427265138876457
bert,wheat_price,1540,0.5541056394577026,0.7996418758573862
bert,wheat_price,1550,0.5063112378120422,1.139951688552016
bert,wheat_price,1560,0.5112999081611633,1.406401947611487
bert,wheat_price,1570,0.579818844795227,1.4902736815603772
bert,wheat_price,1580,0.6125123500823975,1.6304958047394988
bert,wheat_price,1590,0.5455961227416992,1.9496222070762823
bert,wheat_price,1600,0.4963727593421936,2.2471450607084633
bert,wheat_price,1610,0.7219635248184204,2.4347727272547326
bert,wheat_price,1620,0.6933822631835938,2.573846612719173
bert,wheat_price,1630,0.5372971892356873,2.8361948785966735
bert,wheat_price,1640,0.6384201049804688,2.941367218621733
bert,wheat_price,1650,0.5037899017333984,3.1362215998347307
bert,wheat_price,1660,0.556315004825592,3.042063464719651
bert,wheat_price,1670,0.459081768989563,2.962121841409379
bert,wheat_price,1680,0.47544682025909424,3.046123702754846
bert,wheat_price,1690,0.5753968954086304,3.096511987670489
bert,wheat_price,1700,0.5381608009338379,3.0454124650862164
bert,wheat_price,1710,0.49568575620651245,2.998083597425447
bert,wheat_price,1720,0.5305130481719971,2.9191454666337715
bert,wheat_price,1730,0.41279202699661255,2.8871997614132474
bert,wheat_price,1740,0.5377030372619629,2.886047519665124
bert,wheat_price,1750,0.5762921571731567,2.962123198934135
bert,wheat_price,1760,0.6074503660202026,3.1423452336371858
bert,wheat_price,1770,0.48833853006362915,3.5722377668374485
bert,wheat_price,1780,0.5981900095939636,3.6563593996216994
bert,wheat_price,1790,0.5253685116767883,3.881295561593609
bert,wheat_price,1800,0.6298885941505432,5.199598254290423
bert,wheat_price,1810,0.64155113697052,6.2479883864988315
bert,wheat_price,1820,0.6664766669273376,5.6032906392799395
bert,wheat_price,1830,0.6744622588157654,4.832544062443172
bert,wheat_price,1840,0.5793704986572266,4.895400412145952
bert,wheat_price,1850,0.6795804500579834,4.963634845245762
bert,wheat_price,1860,0.5858384370803833,5.254387478897661
bert,wheat_price,1870,0.6292590498924255,5.318997722042906
bert,wheat_price,1880,0.5841436386108398,4.975961472555139
bert,wheat_price,1890,0.5389223694801331,4.495357394179435
bert,wheat_price,1900,0.6990239024162292,4.486978661990179
bert,wheat_price,1910,0.6492846608161926,4.753026260086835
bert,wheat_price,1920,0.7080061435699463,5.027239313553383
bert,coin_supply,1250,0.5594190359115601,
bert,coin_supply,1260,0.5911687016487122,
bert,coin_supply,1270,0.5006840229034424,0.5527555248813665
bert,coin_supply,1280,0.46374237537384033,0.6005249180545139
bert,coin_supply,1290,0.42566633224487305,0.8127114672875979
bert,coin_supply,1300,0.3239118158817291,1.0700070398584025
bert,coin_supply,1310,0.40654879808425903,1.385556127678622
bert,coin_supply,1320,0.4385150671005249,1.6067412375030345
bert,coin_supply,1330,0.37067529559135437,1.39853941342938
bert,coin_supply,1340,0.41382068395614624,0.930081672605025
bert,coin_supply,1350,0.3776695430278778,0.8106357839025231
bert,coin_supply,1360,0.41496697068214417,1.3482200131578848
bert,coin_supply,1370,0.47937247157096863,1.6655475454419395
bert,coin_supply,1380,0.46437597274780273,1.5349739024236517
bert,coin_supply,1390,0.39351534843444824,1.3903876516264837
bert,coin_supply,1400,0.1148332953453064,1.2920161523838187
bert,coin_supply,1410,0.5151157975196838,1.2248380458759733
bert,coin_supply,1420,0.43573492765426636,1.6087408945995079
bert,coin_supply,1430,0.4815250039100647,1.9226342180091105
bert,coin_supply,1440,0.5066661834716797,1.6539597400395807
bert,coin_supply,1450,0.49615275859832764,1.1413605745546533
bert,coin_supply,1460,0.44979068636894226,0.707872380502487
bert,coin_supply,1470,0.4556363821029663,0.7797941072857572
bert,coin_supply,1480,0.47801387310028076,0.8542803880765546
bert,coin_supply,1490,0.5071356296539307,0.695624511588412
bert,coin_supply,1500,0.5372723937034607,0.6468431750765942
bert,coin_supply,1510,0.3869609534740448,1.0042404341581075
bert,coin_supply,1520,0.4121292233467102,1.251977865548493
bert,coin_supply,1530,0.41546446084976196,1.348068929771324
bert,coin_supply,1540,0.44525933265686035,1.2307043112802556
bert,coin_supply,1550,0.4386497139930725,1.7371616862423598
bert,coin_supply,1560,0.32092854380607605,1.7929851986335708
bert,coin_supply,1570,0.3339647650718689,1.9100215808616083
bert,coin_supply,1580,0.32528209686279297,2.298641730154567
bert,coin_supply,1590,0.40132516622543335,2.9525097261564843
bert,coin_supply,1600,0.38758403062820435,3.504697035537715
bert,coin_supply,1610,0.2905659079551697,3.8842047548739957
bert,coin_supply,1620,0.30011099576950073,4.384068925416629
bert,coin_supply,1630,0.259660929441452,5.72903096262593
bert,coin_supply,1640,0.3025159537792206,8.548534599576834
bert,coin_supply,1650,0.4705022871494293,11.782053984331359
bert,coin_supply,1660,0.40206819772720337,11.659589084331362
bert,coin_supply,1670,0.3511388599872589,11.398181854701736
bert,coin_supply,1680,0.3730323612689972,10.24422037322025
bert,coin_supply,1690,0.4685940742492676,10.433321621721918
bert,coin_supply,1700,0.4514831602573395,11.03372607218966
bert,coin_supply,1710,0.18496572971343994,11.782258635329386
bert,coin_supply,1720,0.4095061719417572,15.225706801996049
bert,coin_supply,1730,0.30154258012771606,17.027486676996038
bert,coin_supply,1740,0.40525850653648376,17.13663256866268
bert,coin_supply,1750,0.4179760813713074,17.719412768662664
bert,coin_supply,1760,0.1684793084859848,20.765375235329316
bert,coin_supply,1770,0.287443608045578,25.788866768662647
bert,coin_supply,1780,0.39378201961517334,30.560251701995973
bert,coin_supply,1790,0.23511062562465668,40.54458127563938
bert,coin_supply,1800,0.2828305661678314,42.100931632228544
bert,coin_supply,1810,0.2998700737953186,30.964727095794444
bert,coin_supply,1820,0.13470035791397095,31.666283292693677
bert,coin_supply,1830,0.21995317935943604,45.56881861219279
bert,coin_supply,1840,0.30406856536865234,43.75054272421822
bert,coin_supply,1850,0.3574814796447754,54.189135804560095
bert,coin_supply,1860,0.3366447687149048,78.61738536866265
bert,coin_supply,1870,0.3834552764892578,98.60381910982034
bert,coin_supply,1880,0.3055543303489685,102.6706
bert,coin_supply,1890,0.27119719982147217,104.93746666666667
bert,coin_supply,1900,0.3236721456050873,124.62340000000002
bert,coin_supply,1910,0.24841293692588806,147.30693333333335
bert,coin_supply,1920,0.34866011142730713,151.7268
bert,population,1250,-0.4705005884170532,4.225991292798028
bert,population,1260,-0.5106568336486816,4.297115027389493
bert,population,1270,-0.616226851940155,4.365003252480139
bert,population,1280,-0.5191934108734131,4.486838167466561
bert,population,1290,-0.6553173661231995,4.69066116302725
bert,population,1300,-0.5135928392410278,4.726440884461951
bert,population,1310,-0.5807668566703796,4.689902005949211
bert,population,1320,-0.5137481689453125,4.404276332091549
bert,population,1330,-0.591239869594574,4.2764002355165465
bert,population,1340,-0.6341266632080078,4.560494479198187
bert,population,1350,-0.5532519221305847,3.5769555512641085
bert,population,1360,-0.5927304029464722,2.567184646616851
bert,population,1370,-0.47281116247177124,2.5274823728236195
bert,population,1380,-0.539391040802002,2.431751504840866
bert,population,1390,-0.5652434825897217,2.255980435428589
bert,population,1400,-0.4690142869949341,2.1099650280039484
bert,population,1410,-0.5687023997306824,2.0611928723079913
bert,population,1420,-0.5207862854003906,2.0401480113656554
bert,population,1430,-0.5686402320861816,2.012182492649443
bert,population,1440,-0.5444692373275757,1.960989801781779
bert,population,1450,-0.5162738561630249,1.9250421784595961
bert,population,1460,-0.5567678213119507,1.9606839100083604
bert,population,1470,-0.5059215426445007,2.018832607245412
bert,population,1480,-0.5058580636978149,2.0787058409939863
bert,population,1490,-0.5049078464508057,2.140354756444277
bert,population,1500,-0.4505046606063843,2.203832015617496
bert,population,1510,-0.5189085006713867,2.269191842351076
bert,population,1520,-0.4959222972393036,2.3538362758755857
bert,population,1530,-0.4268261790275574,2.550793558613428
bert,population,1540,-0.4461498260498047,2.800610624794244
bert,population,1550,-0.41323110461235046,3.030989866666666
bert,population,1560,-0.4696466624736786,3.1239836666666667
bert,population,1570,-0.5696043968200684,3.2872699333333326
bert,population,1580,-0.500878095626831,3.6048574666666666
bert,population,1590,-0.5758136510848999,3.9065717333333323
bert,population,1600,-0.42296627163887024,4.1327156
bert,population,1610,-0.7016891837120056,4.423978866666666
bert,population,1620,-0.6671611666679382,4.687471799999999
bert,population,1630,-0.4746560752391815,4.972708266666666
bert,population,1640,-0.6799629926681519,5.197341199999999
bert,population,1650,-0.43892794847488403,5.319954133333334
bert,population,1660,-0.5074535608291626,5.275563866666666
bert,population,1670,-0.5702632665634155,5.1837658
bert,population,1680,-0.592400074005127,5.099147866666668
bert,population,1690,-0.6178508996963501,5.050003599999999
bert,population,1700,-0.4850615859031677,5.195511466666665
bert,population,1710,-0.5422660112380981,5.339799800000001
bert,population,1720,-0.6800668239593506,5.4906467333333335
bert,population,1730,-0.6303830146789551,5.525369799999999
bert,population,1740,-0.6811712980270386,5.658029933333334
bert,population,1750,-0.544402539730072,5.9076206
bert,population,1760,-0.7593660354614258,6.255437933333331
bert,population,1770,-0.7470303773880005,6.6104808
bert,population,1780,-0.523863673210144,7.126384000000001
bert,population,1790,-0.5928019285202026,7.7719639333333355
bert,population,1800,-0.5677973031997681,8.6223494
bert,population,1810,-0.7503436207771301,9.7656796
bert,population,1820,-0.6899682283401489,11.314908000000003
bert,population,1830,-0.5948697328567505,13.061723333333335
bert,population,1840,-0.5745400786399841,14.794170666666666
bert,population,1850,-0.5534831285476685,16.597901866666668
bert,population,1860,-0.5711780786514282,18.72969386666667
bert,population,1870,-0.4599487781524658,20.326282
bert,population,1880,-0.6003432273864746,
bert,population,1890,-0.6258418560028076,
bert,population,1900,-0.41897574067115784,
bert,population,1910,-0.5080974102020264,
bert,population,1920,-0.5045701861381531,
bert,wages,1250,-0.6202088594436646,37.79041359120478
bert,wages,1260,-0.7562310695648193,35.57530510343266
bert,wages,1270,-0.6756231784820557,28.59186462915868
bert,wages,1280,-0.6607434749603271,26.958759368032197
bert,wages,1290,-0.6627060174942017,28.104208270289963
bert,wages,1300,-0.6790012121200562,26.763773199955562
bert,wages,1310,-0.643497109413147,25.068637978387713
bert,wages,1320,-0.6017965078353882,25.43241547174561
bert,wages,1330,-0.6269664764404297,29.252746065101952
bert,wages,1340,-0.6459702253341675,33.131349603067854
bert,wages,1350,-0.5573234558105469,38.226829788235676
bert,wages,1360,-0.6811279654502869,44.093069613736205
bert,wages,1370,-0.6595445871353149,45.39366016791913
bert,wages,1380,-0.6815226078033447,54.12512317533032
bert,wages,1390,-0.6073189377784729,57.20033674937185
bert,wages,1400,-0.7670982480049133,58.156993522897146
bert,wages,1410,-0.6982589364051819,58.75813275990294
bert,wages,1420,-0.5787445306777954,61.16210748411963
bert,wages,1430,-0.6141684055328369,63.37323186956899
bert,wages,1440,-0.5624861717224121,64.53824045199266
bert,wages,1450,-0.5734575986862183,69.5832042269643
bert,wages,1460,-0.5519682168960571,66.95017137032416
bert,wages,1470,-0.5243352651596069,66.6191172561408
bert,wages,1480,-0.6328673362731934,62.45805345527764
bert,wages,1490,-0.5638555288314819,62.009179998560384
bert,wages,1500,-0.65865159034729,62.18326006157476
