model,series,label,n,rho,p,sig
bert,wheat_price,primary,26,-0.21094017094017092,0.30095542360372424,ns
bert,coin_supply,primary,27,-0.018925518925518924,0.9253516782792711,ns
bert,population,primary,26,0.6868376068376068,0.00010652200477786457,**
bert,wages,primary,28,0.39518336070060206,0.037401484505828024,*
bert,wages,Nominal wages,28,-0.02736726874657909,0.8900529733795479,ns
bert,trade_volume,primary,27,0.6452991452991452,0.0002785402971048164,**
