model,series,label,n,rho,p,sig
bert,wheat_price,primary,26,-0.06598290598290597,0.7487785064324753,ns
bert,coin_supply,primary,27,-0.553113553113553,0.0027678147583371,**
bert,population,primary,26,-0.6841025641025641,0.00011635745447086368,**
bert,wages,primary,28,0.16584564860426929,0.3989903778112816,ns
bert,wages,Nominal wages,28,0.24904214559386975,0.2012585298411096,ns
bert,trade_volume,primary,27,-0.17216117216117213,0.3905152250328672,ns
