model,coin,rho_d_vs_cpi,p_d_vs_cpi,n_d_cpi,rho_d_vs_earn,p_d_vs_earn,n_d_earn
macberth,penny,-0.09505946204804855,0.4441599465992748,67,-0.1167690956979807,0.3466876668262169,67
macberth,sixpence,-0.09450075824088118,0.44685432746949116,67,-0.10024742597174557,0.4195774038497064,67
macberth,shilling,-0.09314390613776041,0.45343548711915116,67,-0.12542900470907498,0.3118438918039163,67
macberth,florin,-0.027536116210391894,0.8249421020750639,67,-0.1978210551520473,0.10856763388764858,67
