model,coin,year,value_proj,time_proj,purch_power,real_earn
macberth,penny,1250,0.2599583887125334,0.09143204987049103,1.0,37.79041359120478
macberth,penny,1260,0.25993092485468616,0.09040535986423492,0.9094611406366796,35.57530510343266
macberth,penny,1270,0.25794559923820215,0.08945833146572113,0.7962349020308248,28.59186462915868
macberth,penny,1280,0.25802308754833564,0.08999645709991455,0.7659322940528717,26.958759368032197
macberth,penny,1290,0.258034713606994,0.0915052592754364,0.7897110711917863,28.104208270289963
macberth,penny,1300,0.2572807590678856,0.09069500118494034,0.7542916788700958,26.763773199955562
macberth,penny,1310,0.25733027034931555,0.08875387907028198,0.6614840555804953,25.068637978387713
macberth,penny,1320,0.2570294024143624,0.08763539046049118,0.6206927565540887,25.43241547174561
macberth,penny,1330,0.2574898111102704,0.08822125196456909,0.7138577400686792,29.252746065101952
macberth,penny,1340,0.25722340689904116,0.08798840641975403,0.8342194201763972,33.131349603067854
macberth,penny,1350,0.25686675507407386,0.08699977397918701,0.718425150559168,38.226829788235676
macberth,penny,1360,0.2559977540422565,0.08922627568244934,0.6542062553636363,44.093069613736205
macberth,penny,1370,0.25662368462518564,0.08890163898468018,0.6015037721519632,45.39366016791913
macberth,penny,1380,0.25743474788975795,0.0869407206773758,0.6970317592530034,54.12512317533032
macberth,penny,1390,0.25659472632740293,0.08925949037075043,0.7570873301352409,57.20033674937185
macberth,penny,1400,0.25726949580877845,0.09067483246326447,0.7329354268288505,58.156993522897146
macberth,penny,1410,0.2588249626811929,0.08887147903442383,0.7069101278747706,58.75813275990294
macberth,penny,1420,0.2583737717971522,0.08768181502819061,0.7307157575050623,61.16210748411963
macberth,penny,1430,0.2570149906320217,0.08962465077638626,0.7320366771343666,63.37323186956899
macberth,penny,1440,0.2576836591772716,0.08728547394275665,0.7141231496954459,64.53824045199266
macberth,penny,1450,0.2592955516667596,0.08645643293857574,0.7685896045797157,69.5832042269643
macberth,penny,1460,0.25937050040817083,0.08940614014863968,0.7558261127578118,66.95017137032416
macberth,penny,1470,0.2602759224297785,0.08986988663673401,0.7624273523487529,66.6191172561408
macberth,penny,1480,0.2606841122592928,0.08917507529258728,0.7154058643807953,62.45805345527764
macberth,penny,1490,0.2592486727202872,0.09244249761104584,0.7158185437535453,62.009179998560384
macberth,penny,1500,0.25712727436337,0.09589909762144089,0.7281441036098597,62.18326006157476
macberth,penny,1510,0.2575510695039993,0.09782512485980988,0.7189382345969891,60.14651786829997
macberth,penny,1520,0.2584388155888113,0.09656664729118347,0.6461441916711493,54.76797473188103
macberth,penny,1530,0.25936706421979844,0.09806624054908752,0.5751400616257254,48.32983420423
macberth,penny,1540,0.2577852010863366,0.09770910441875458,0.5309720782927089,48.257446373013146
macberth,penny,1550,0.25582652387535404,0.09664522856473923,0.3791282634704123,43.53833949482721
macberth,penny,1560,0.255558113083183,0.09805159270763397,0.31686378663507975,43.58663373642403
macberth,penny,1570,0.2574121361232822,0.09811268746852875,0.29685528852591286,45.806589921776016
macberth,penny,1580,0.25942728695823336,0.09304909408092499,0.259329273594164,41.913963675687306
macberth,penny,1590,0.26039449663479725,0.09507101029157639,0.21804982475622126,37.24701355502289
macberth,penny,1600,0.25912368642720546,0.10110364109277725,0.19158151197338358,34.349456206452125
macberth,penny,1610,0.25933474596462736,0.10119643062353134,0.17552153617442268,33.498276811377444
