model,series,label,n,rho,p,sig
macberth,wheat_price,primary,67,0.07275121717615134,0.5585047419806601,ns
macberth,coin_supply,primary,66,0.6065546393904603,6.738645433800016e-08,**
macberth,population,primary,63,-0.08621351766513058,0.5016804010158585,ns
macberth,wages,primary,68,-0.006527464976905753,0.9578677898777878,ns
macberth,wages,Nominal wages,68,0.0638241019964118,0.6051023577450334,ns
macberth,trade_volume,primary,65,-0.2583479020979021,0.037721285443674715,*
