model,series,year,bert_proj,real_value
macberth,wheat_price,1250,0.006454985588788986,
macberth,wheat_price,1260,0.0073626283556222916,0.45741739309372365
macberth,wheat_price,1270,0.011659892275929451,0.5057381401731066
macberth,wheat_price,1280,0.010698283091187477,0.5102782318337719
macberth,wheat_price,1290,0.00913606584072113,0.5134101318266907
macberth,wheat_price,1300,0.010884478688240051,0.5341398400610814
macberth,wheat_price,1310,0.0084941815584898,0.6417861682845651
macberth,wheat_price,1320,0.009090917184948921,0.6767664887142529
macberth,wheat_price,1330,0.006968080997467041,0.57700430237112
macberth,wheat_price,1340,0.009211219847202301,0.508859001263754
macberth,wheat_price,1350,0.009031876921653748,0.582297189318636
macberth,wheat_price,1360,0.01211673952639103,0.6417553801798951
macberth,wheat_price,1370,0.01158328726887703,0.6741322410100106
macberth,wheat_price,1380,0.011513179168105125,0.6054587077844578
macberth,wheat_price,1390,0.012762824073433876,0.5850170622679433
macberth,wheat_price,1400,0.009207243099808693,0.5856496809838709
macberth,wheat_price,1410,0.012762870639562607,0.6126156685432901
macberth,wheat_price,1420,0.011075770482420921,0.6115697004333197
macberth,wheat_price,1430,0.010918578132987022,0.6464343830966127
macberth,wheat_price,1440,0.01055884175002575,0.6615761293517237
macberth,wheat_price,1450,0.010640058666467667,0.6257502696370225
macberth,wheat_price,1460,0.010385170578956604,0.6167472945492581
macberth,wheat_price,1470,0.011743344366550446,0.6162642730874417
macberth,wheat_price,1480,0.011024357751011848,0.6491465310493074
macberth,wheat_price,1490,0.009678743779659271,0.6170005321085851
macberth,wheat_price,1500,0.016558267176151276,0.6286795465160607
macberth,wheat_price,1510,0.012453027069568634,0.6412187033422329
macberth,wheat_price,1520,0.012982122600078583,0.698647874285429
macberth,wheat_price,1530,0.010839302092790604,0.7427265138876457
macberth,wheat_price,1540,0.013405419886112213,0.7996418758573862
macberth,wheat_price,1550,0.016761360689997673,1.139951688552016
macberth,wheat_price,1560,0.012911902740597725,1.406401947611487
macberth,wheat_price,1570,0.01696217805147171,1.4902736815603772
macberth,wheat_price,1580,0.015930574387311935,1.6304958047394988
macberth,wheat_price,1590,0.01361694373190403,1.9496222070762823
macberth,wheat_price,1600,0.020312590524554253,2.2471450607084633
macberth,wheat_price,1610,0.013496370986104012,2.4347727272547326
macberth,wheat_price,1620,0.013559920713305473,2.573846612719173
macberth,wheat_price,1630,0.013682231307029724,2.8361948785966735
macberth,wheat_price,1640,0.020826365798711777,2.941367218621733
macberth,wheat_price,1650,0.023923318833112717,3.1362215998347307
macberth,wheat_price,1660,0.020931841805577278,3.042063464719651
macberth,wheat_price,1670,0.015325693413615227,2.962121841409379
macberth,wheat_price,1680,0.021419541910290718,3.046123702754846
macberth,wheat_price,1690,0.011615350842475891,3.096511987670489
macberth,wheat_price,1700,0.008828435093164444,3.0454124650862164
macberth,wheat_price,1710,0.010352937504649162,2.998083597425447
macberth,wheat_price,1720,0.007885884493589401,2.9191454666337715
macberth,wheat_price,1730,0.010099479928612709,2.8871997614132474
macberth,wheat_price,1740,0.014949800446629524,2.886047519665124
macberth,wheat_price,1750,0.013738241046667099,2.962123198934135
macberth,wheat_price,1760,0.013129077851772308,3.1423452336371858
macberth,wheat_price,1770,0.014722645282745361,3.5722377668374485
macberth,wheat_price,1780,0.013241644948720932,3.6563593996216994
macberth,wheat_price,1790,0.01479186862707138,3.881295561593609
macberth,wheat_price,1800,0.005317879840731621,5.199598254290423
macberth,wheat_price,1810,0.010629335418343544,6.2479883864988315
macberth,wheat_price,1820,0.00951501727104187,5.6032906392799395
macberth,wheat_price,1830,0.007459897547960281,4.832544062443172
macberth,wheat_price,1840,0.010765325278043747,4.895400412145952
macberth,wheat_price,1850,0.00873543694615364,4.963634845245762
macberth,wheat_price,1860,0.008866310119628906,5.254387478897661
macberth,wheat_price,1870,0.011767156422138214,5.318997722042906
macberth,wheat_price,1880,0.0066157132387161255,4.975961472555139
macberth,wheat_price,1890,0.0046311598271131516,4.495357394179435
macberth,wheat_price,1900,0.01319229044020176,4.486978661990179
macberth,wheat_price,1910,0.016025349497795105,4.753026260086835
macberth,wheat_price,1920,0.00869409367442131,5.027239313553383
macberth,coin_supply,1250,0.11545266211032867,
macberth,coin_supply,1260,0.1117452010512352,
macberth,coin_supply,1270,0.11173754185438156,0.5527555248813665
macberth,coin_supply,1280,0.10826267302036285,0.6005249180545139
macberth,coin_supply,1290,0.11106322705745697,0.8127114672875979
macberth,coin_supply,1300,0.10940451174974442,1.0700070398584025
macberth,coin_supply,1310,0.10671184957027435,1.385556127678622
macberth,coin_supply,1320,0.10444515943527222,1.6067412375030345
macberth,coin_supply,1330,0.10305021703243256,1.39853941342938
macberth,coin_supply,1340,0.10495346039533615,0.930081672605025
macberth,coin_supply,1350,0.10674519836902618,0.8106357839025231
macberth,coin_supply,1360,0.1055360808968544,1.3482200131578848
macberth,coin_supply,1370,0.10550978779792786,1.6655475454419395
macberth,coin_supply,1380,0.10257538408041,1.5349739024236517
macberth,coin_supply,1390,0.10577496886253357,1.3903876516264837
macberth,coin_supply,1400,0.11292998492717743,1.2920161523838187
macberth,coin_supply,1410,0.10292989760637283,1.2248380458759733
macberth,coin_supply,1420,0.10808201134204865,1.6087408945995079
macberth,coin_supply,1430,0.10729379206895828,1.9226342180091105
macberth,coin_supply,1440,0.10181072354316711,1.6539597400395807
macberth,coin_supply,1450,0.10452396422624588,1.1413605745546533
macberth,coin_supply,1460,0.10695506632328033,0.707872380502487
macberth,coin_supply,1470,0.10240887105464935,0.7797941072857572
macberth,coin_supply,1480,0.10285947471857071,0.8542803880765546
