model,series,label,n,rho,p,sig
macberth,wheat_price,primary,26,-0.3989743589743589,0.04348203755249834,*
macberth,coin_supply,primary,27,-0.4993894993894994,0.008001350213415123,**
macberth,population,primary,26,0.7545299145299145,8.465706080619243e-06,**
macberth,wages,primary,28,-0.1839080459770115,0.34885827222813315,ns
macberth,wages,Nominal wages,28,-0.6666666666666666,0.00010718327096949536,**
macberth,trade_volume,primary,27,0.24542124542124538,0.21724737458064952,ns
