layer,r2_ridge,r2_knn,linearity_excess,pc1_var,pc2_var,cum_var_3pc,n_dims_90pct,spearman_rho,spearman_p,nn_coherence
1,-28.357770223705266,-46.29879581629388,17.941025592588616,0.21432839334011078,0.15301108360290527,0.46423041820526123,11,-0.09112903225806453,0.6258679425734357,0.29032258064516137
2,-25.551419877572954,-50.2660166931674,24.714596815594447,0.1454923152923584,0.0896025151014328,0.31183743476867676,11,0.00846774193548387,0.9639401943189245,0.2645161290322581
3,-24.610459583825758,-39.52982646768045,14.919366883854693,0.17369887232780457,0.08803771436214447,0.3325044810771942,11,0.06693548387096775,0.7205172359200275,0.27096774193548384
4,-10.462229445367246,-16.84840555433363,6.386176108966385,0.1593410074710846,0.11580649018287659,0.3756677210330963,11,0.8713709677419356,1.795511783119841e-10,0.4774193548387096
5,-8.004702984939538,-13.636744821243505,5.6320418363039675,0.20528370141983032,0.10608134418725967,0.39625370502471924,11,-0.9056451612903227,2.5217820319031043e-12,0.5161290322580645
6,-8.989257517383471,-18.362404213285078,9.373146695901607,0.14924758672714233,0.12343103438615799,0.3612480163574219,11,-0.8987903225806452,6.663468850689829e-12,0.44516129032258056
7,-9.37086858020392,-23.87544000099961,14.50457142079569,0.13637718558311462,0.10641133040189743,0.3431190252304077,11,-0.3544354838709678,0.050423141750356386,0.3806451612903225
8,-10.16295498399657,-26.63797063960528,16.47501565560871,0.2303840070962906,0.11662202328443527,0.4330073595046997,11,0.05524193548387097,0.7678716935426562,0.35483870967741926
9,-12.442768211269103,-28.424492842019824,15.98172463075072,0.17086826264858246,0.1216290295124054,0.38160908222198486,11,0.10040322580645164,0.5909843569018903,0.38064516129032244
10,-11.336331829262495,-24.472222406068976,13.135890576806482,0.15153375267982483,0.12186408042907715,0.3782459497451782,11,-0.3524193548387097,0.0518409760119998,0.41290322580645145
11,-8.703796490293904,-15.486609715442682,6.782813225148779,0.1826162487268448,0.13216902315616608,0.3980388343334198,11,-0.8943548387096776,1.2051882270245663e-11,0.5161290322580645
12,-8.544955826954705,-13.55368907201812,5.008733245063414,0.2041471153497696,0.1493244469165802,0.43926525115966797,11,0.8649193548387099,3.4961442646860614e-10,0.5483870967741935
